Epoch,Train_loss,Train_acc
0,1.0794590452783985,0.68333334
1,0.3880145588987752,0.87416667
2,0.26900073709456546,0.92083335
3,0.2502705533253519,0.92583334
4,0.16516280032106137,0.95166665
5,0.1319237019572603,0.96
6,0.17267396727478818,0.955
7,0.1910580113824261,0.9291667
8,0.1609402548913893,0.9475
9,0.10389204244864614,0.9691667
10,0.07090507692804462,0.98333335
11,0.05729036628709812,0.98333335
12,0.0777193509336365,0.97583336
13,0.05084164283777538,0.9875
14,0.048052395436618676,0.9841667
15,0.09381613506641436,0.96666664
16,0.09834044142381142,0.9716667
17,0.08069033217984006,0.97
18,0.04790291719530758,0.98333335
19,0.0388811939138625,0.9875
